"","p_value","adj_pvalue","odds.ratio","exp"
"allgenes_up","2.72400615877773e-45",1.08960246351109e-44,"2.49977909436992","UP"
"allgenes_down","1.53935603003388e-33",3.07871206006776e-33,"2.17840926488682","DOWN"
"kegg_genes_up","8.12441531522582e-13",9.28504607454379e-13,"1.83610905614987","UP"
"kegg_genes_down","2.80592797046876e-15",3.74123729395835e-15,"1.9395247437874","DOWN"
"go_genes_up","2.39938021615306e-43",6.39834724307483e-43,"2.445989230776","UP"
"go_genes_down","1.97907395008217e-32",3.16651832013147e-32,"2.15118231610074","DOWN"
"hallmark_genes_up","3.52978714887478e-49",2.82382971909982e-48,"3.18510638918369","UP"
"hallmark_genes_down","2.070171231738e-12",2.070171231738e-12,"1.85314224297272","DOWN"
