"","pathway","p_value","adj_pvalue","odds.ratio","exp"
"1","KEGG_PARKINSONS_DISEASE","0.000146799399756951",0.00315568785210377,"4.0444099843633","DOWN"
"2","KEGG_CELL_ADHESION_MOLECULES_CAMS","0.000204263026877083",0.00315568785210377,"3.24293240043245","UP"
"3","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","0.000204567645502666",0.00315568785210377,"2.76535860095884","UP"
